tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,PULocationID,DOLocationID,LocationID,zone,latitude,longitude,borough
2020-12-05 15:04:11,2020-12-05 15:09:14,1.14,79,137,51,Co-Op City,-73.83042363,40.87406155,Bronx
2020-12-05 15:17:55,2020-12-05 15:22:00,.66,107,107,52,Cobble Hill,-73.99692247,40.68660454,Brooklyn
2020-12-05 15:30:25,2020-12-05 15:59:41,8.76,138,238,53,College Point,-73.84407035,40.78198796,Queens
2020-12-05 15:50:18,2020-12-05 16:04:10,2.40,151,42,54,Columbia Street,-74.00309279,40.68699115,Brooklyn
2020-12-05 15:19:56,2020-12-05 15:32:21,3.15,236,168,55,Coney Island,-73.99047414,40.57689962,Brooklyn
2020-12-05 15:54:33,2020-12-05 16:10:09,2.51,263,161,56,Corona,-73.85905335,40.74159862,Queens
2020-12-05 15:31:20,2020-12-05 15:51:17,4.25,48,74,56,Corona,-73.85338447,40.75231604,Queens
2020-12-05 15:35:52,2020-12-05 15:54:51,4.58,264,264,58,Country Club,-73.82070538,40.8414755,Bronx
2020-12-05 15:06:50,2020-12-05 15:49:20,8.54,88,75,59,Crotona Park,-73.89307443,40.83885999,Bronx
2020-12-05 15:27:10,2020-12-05 15:43:00,3.11,164,143,60,Crotona Park East,-73.8897822,40.83129412,Bronx
2020-12-05 15:12:16,2020-12-05 15:17:28,.80,237,236,61,Crown Heights North,-73.94128203,40.67384285,Brooklyn
2020-12-05 15:22:31,2020-12-05 15:28:28,1.10,236,237,62,Crown Heights South,-73.94926997,40.66708956,Brooklyn
2020-12-05 15:41:43,2020-12-05 15:50:56,1.21,170,246,63,Cypress Hills,-73.87767643,40.68481019,Brooklyn
2020-12-05 15:05:21,2020-12-05 15:12:39,.80,158,211,64,Douglaston,-73.73139216,40.76063128,Queens
2020-12-05 15:51:44,2020-12-05 15:54:53,.80,144,79,65,Downtown Brooklyn/MetroTech,-73.98557106,40.69537261,Brooklyn
2020-12-05 15:22:34,2020-12-05 15:24:54,.66,249,249,66,DUMBO/Vinegar Hill,-73.98638275,40.70173247,Brooklyn
2020-12-05 15:31:21,2020-12-05 15:39:25,1.61,234,163,67,Dyker Heights,-74.01473587,40.61845441,Brooklyn
2020-12-05 15:19:14,2020-12-05 15:36:11,6.04,140,45,68,East Chelsea,-73.99994016,40.74839722,Manhattan
2020-12-05 15:49:51,2020-12-05 15:58:54,1.52,107,233,69,East Concourse/Concourse Village,-73.91536622,40.83060768,Bronx
2020-12-05 15:33:05,2020-12-05 15:36:22,.62,68,186,70,East Elmhurst,-73.86840291,40.76394782,Queens
2020-12-05 15:38:39,2020-12-05 15:44:00,.87,234,68,71,East Flatbush/Farragut,-73.93773452,40.64392852,Brooklyn
2020-12-05 15:39:21,2020-12-05 15:46:33,1.55,239,236,72,East Flatbush/Remsen Village,-73.92021005,40.65246063,Brooklyn
2020-12-05 15:50:59,2020-12-05 16:07:56,3.07,237,234,73,East Flushing,-73.80658433,40.75369749,Queens
2020-12-05 15:07:16,2020-12-05 15:10:46,.70,68,186,74,East Harlem North,-73.9383105,40.80556557,Manhattan
2020-12-05 15:33:48,2020-12-05 15:41:54,1.10,166,238,75,East Harlem South,-73.94495667,40.79065016,Manhattan
2020-12-05 15:08:21,2020-12-05 15:26:33,3.14,79,43,76,East New York,-73.87841737,40.6586863,Brooklyn
2020-12-05 15:41:14,2020-12-05 15:45:18,.53,142,142,77,East New York/Pennsylvania Avenue,-73.89571716,40.66770187,Brooklyn
2020-12-05 15:21:43,2020-12-05 15:26:24,.95,48,163,78,East Tremont,-73.88664559,40.84603028,Bronx
2020-12-05 15:24:48,2020-12-05 15:31:13,.86,161,48,79,East Village,-73.98521412,40.72794428,Manhattan
2020-12-05 15:56:23,2020-12-05 16:05:57,1.62,238,166,80,East Williamsburg,-73.94232931,40.71446957,Brooklyn
2020-12-05 15:18:32,2020-12-05 15:35:57,1.56,79,249,81,Eastchester,-73.84553257,40.87735883,Bronx
2020-12-05 15:51:27,2020-12-05 16:20:05,1.37,79,144,82,Elmhurst,-73.87234401,40.73846392,Queens
2020-12-05 15:03:51,2020-12-05 15:10:03,1.59,68,142,83,Elmhurst/Maspeth,-73.88922183,40.7401456,Queens
2020-12-05 15:15:37,2020-12-05 15:21:22,.80,163,162,84,Eltingville/Annadale/Prince's Bay,-74.17393733,40.5320172,Staten Island
2020-12-05 15:29:58,2020-12-05 15:37:32,1.64,161,140,85,Erasmus,-73.95220884,40.64725497,Brooklyn
2020-12-05 15:29:58,2020-12-05 15:37:32,1.64,161,141,86,Far Rockaway,-73.75418673,40.60255393,Queens
2020-12-05 15:17:59,2020-12-05 15:29:32,2.20,163,236,87,Financial District North,-74.00781212,40.70665962,Manhattan
2020-12-05 15:50:17,2020-12-05 15:57:29,1.40,263,239,88,Financial District South,-74.01130777,40.7033938,Manhattan
2020-12-05 15:04:47,2020-12-05 15:15:36,1.45,140,162,89,Flatbush/Ditmas Park,-73.96269373,40.64098273,Brooklyn
2020-12-05 15:12:54,2020-12-05 15:20:19,1.10,158,234,90,Flatiron,-73.99677751,40.74254616,Manhattan
2020-12-05 15:02:31,2020-12-05 15:11:01,1.00,75,41,91,Flatlands,-73.93254359,40.62738999,Brooklyn
2020-12-05 15:05:03,2020-12-05 15:21:21,2.60,237,74,92,Flushing,-73.83044713,40.76412728,Queens
2020-12-05 15:31:44,2020-12-05 15:35:36,.60,24,151,93,Flushing Meadows-Corona Park,-73.84189276,40.73923466,Queens
2020-12-05 15:45:10,2020-12-05 15:48:05,.60,238,238,94,Fordham South,-73.90059101,40.85826076,Bronx
2020-12-05 15:41:27,2020-12-05 16:03:24,8.74,131,203,95,Forest Hills,-73.84821994,40.72346527,Queens
2020-12-05 15:09:42,2020-12-05 15:19:08,1.90,264,142,96,Forest Park/Highland Park,-73.87601222,40.69576099,Queens
2020-12-05 15:13:38,2020-12-05 15:17:40,.75,143,142,97,Fort Greene,-73.97557658,40.69061566,Brooklyn
2020-12-05 15:27:09,2020-12-05 15:34:08,1.21,186,68,98,Fresh Meadows,-73.77955023,40.73384122,Queens
2020-12-05 15:58:43,2020-12-05 16:09:42,1.92,161,239,99,Freshkills Park,-74.18770274,40.57961795,Staten Island
2020-12-05 15:05:01,2020-12-05 15:09:57,.91,262,236,100,Garment District,-73.98878589,40.75351409,Manhattan
2020-12-06 16:19:58,2020-12-06 16:24:14,.42,90,249,101,Glen Oaks,-73.70907059,40.74372178,Queens
2020-12-06 16:26:30,2020-12-06 16:31:13,.91,249,125,102,Glendale,-73.88199873,40.70267936,Queens
2020-12-06 16:59:05,2020-12-06 17:12:30,1.55,234,161,103,Governor's Island/Ellis Island/Liberty Island,-74.04518141,40.68986057,Manhattan
2020-12-06 16:56:33,2020-12-06 17:20:30,14.40,132,210,103,Governor's Island/Ellis Island/Liberty Island,-74.03913087,40.69867328,Manhattan
2020-12-06 16:21:03,2020-12-06 16:23:29,.82,140,262,103,Governor's Island/Ellis Island/Liberty Island,-74.01879437,40.68813782,Manhattan
2020-12-06 16:52:45,2020-12-06 17:21:56,18.51,263,132,106,Gowanus,-73.99176358,40.67336117,Brooklyn
2020-12-06 16:20:56,2020-12-06 16:27:26,1.07,162,237,107,Gramercy,-73.98331035,40.73734838,Manhattan
2020-12-06 16:31:42,2020-12-06 16:36:55,.69,237,237,108,Gravesend,-73.98037615,40.58911034,Brooklyn
2020-12-06 16:32:06,2020-12-06 16:43:50,1.54,90,79,109,Great Kills,-74.15271469,40.54883072,Staten Island
2020-12-06 16:17:40,2020-12-06 16:36:12,2.64,158,232,110,Great Kills Park,-74.12584641,40.54326752,Staten Island
2020-12-06 16:54:00,2020-12-06 17:04:17,1.73,114,68,111,Green-Wood Cemetery,-73.9909889,40.6521158,Brooklyn
2020-12-06 16:30:50,2020-12-06 16:42:05,1.60,68,142,112,Greenpoint,-73.9484722,40.72883035,Brooklyn
2020-12-06 16:00:13,2020-12-06 16:13:19,3.57,162,43,113,Greenwich Village North,-73.99462822,40.73248595,Manhattan
2020-12-06 16:24:51,2020-12-06 16:31:06,1.27,236,239,114,Greenwich Village South,-73.99867795,40.72861173,Manhattan
2020-12-06 16:13:21,2020-12-06 16:23:35,1.30,162,164,115,Grymes Hill/Clifton,-74.0924861,40.62012755,Staten Island
2020-12-06 16:47:50,2020-12-06 17:03:18,3.60,161,7,116,Hamilton Heights,-73.94736754,40.82753526,Manhattan
2020-12-06 16:31:01,2020-12-06 16:41:42,2.40,74,238,117,Hammels/Arverne,-73.7760841,40.59605583,Queens
2020-12-06 16:10:04,2020-12-06 16:19:06,.60,234,90,118,Heartland Village/Todt Hill,-74.13707013,40.58563106,Staten Island
2020-12-06 16:28:42,2020-12-06 16:55:24,3.80,186,238,119,Highbridge,-73.92696621,40.83673003,Bronx
2020-12-06 16:11:08,2020-12-06 16:19:54,1.13,211,79,120,Highbridge Park,-73.93080685,40.84600407,Manhattan
2020-12-06 16:00:59,2020-12-06 16:12:48,2.32,246,237,121,Hillcrest/Pomonok,-73.79968831,40.72734719,Queens
2020-12-06 16:15:52,2020-12-06 16:27:31,1.53,100,48,122,Hollis,-73.76156419,40.71106847,Queens
2020-12-06 16:50:17,2020-12-06 17:03:47,2.65,246,143,123,Homecrest,-73.9651983,40.6002048,Brooklyn
2020-12-06 16:25:02,2020-12-06 17:01:15,7.91,170,95,124,Howard Beach,-73.85000504,40.65956677,Queens
2020-12-06 16:27:44,2020-12-06 16:39:39,2.68,140,43,125,Hudson Sq,-74.00717569,40.72537634,Manhattan
2020-12-06 16:41:36,2020-12-06 17:04:14,3.55,41,142,126,Hunts Point,-73.88497727,40.81391819,Bronx
2020-12-06 16:20:18,2020-12-06 16:48:15,4.60,90,140,127,Inwood,-73.92032547,40.86506268,Manhattan
2020-12-06 16:52:10,2020-12-06 16:58:41,1.40,140,263,128,Inwood Hill Park,-73.92543209,40.87218761,Manhattan
2020-12-06 16:06:49,2020-12-06 16:10:16,.60,68,90,129,Jackson Heights,-73.88740638,40.75905747,Queens
2020-12-06 16:42:00,2020-12-06 16:58:20,1.93,79,113,130,Jamaica,-73.80034752,40.70327388,Queens
2020-12-06 16:03:34,2020-12-06 16:07:42,.88,100,68,131,Jamaica Estates,-73.7713745,40.72041233,Queens
2020-12-06 16:03:34,2020-12-06 16:07:42,.88,100,68,132,JFK Airport,-73.77826366,40.64260452,Queens
2020-12-06 16:28:08,2020-12-06 16:53:11,2.20,100,229,133,Kensington,-73.9743362,40.6393872,Brooklyn
2020-12-06 16:56:22,2020-12-06 17:14:15,1.79,249,4,134,Kew Gardens,-73.8299927,40.70875018,Queens
2020-12-06 16:47:25,2020-12-06 16:51:54,1.17,142,238,135,Kew Gardens Hills,-73.82398551,40.72940996,Queens
2020-12-06 16:42:13,2020-12-06 17:01:47,4.03,79,142,136,Kingsbridge Heights,-73.90571997,40.86480273,Bronx
2020-12-06 16:18:32,2020-12-06 16:24:00,.80,239,142,137,Kips Bay,-73.97711937,40.74035924,Manhattan
2020-12-06 16:37:59,2020-12-06 16:44:02,.80,239,239,138,LaGuardia Airport,-73.87280371,40.77486739,Queens
2020-12-06 16:48:48,2020-12-06 17:10:20,3.80,239,249,139,Laurelton,-73.74332308,40.67774937,Queens
2020-12-06 16:34:09,2020-12-06 16:42:08,1.71,229,164,140,Lenox Hill East,-73.95456804,40.76550682,Manhattan
2020-12-06 16:48:00,2020-12-06 17:06:29,2.75,151,262,141,Lenox Hill West,-73.95971268,40.76683882,Manhattan
2020-12-06 16:19:31,2020-12-06 16:47:28,4.81,264,264,142,Lincoln Square East,-73.98135241,40.77390599,Manhattan
2020-12-06 16:54:44,2020-12-06 17:24:08,6.99,113,181,143,Lincoln Square West,-73.98797297,40.77577021,Manhattan
2020-12-06 16:06:48,2020-12-06 16:14:01,.97,107,170,144,Little Italy/NoLiTa,-73.99740668,40.72058145,Manhattan
2020-12-06 16:16:11,2020-12-06 16:20:01,.88,137,107,145,Long Island City/Hunters Point,-73.94869919,40.74658997,Queens
2020-12-06 16:26:50,2020-12-06 16:31:12,1.03,137,107,146,Long Island City/Queens Plaza,-73.93363409,40.75452889,Queens
2020-12-06 16:36:20,2020-12-06 16:41:35,.72,79,79,147,Longwood,-73.89819293,40.81919853,Bronx
2020-12-06 16:49:02,2020-12-06 16:58:32,1.17,79,211,148,Lower East Side,-73.99071836,40.71921167,Manhattan
2020-12-06 16:32:50,2020-12-06 16:47:29,2.58,161,144,149,Madison,-73.94847421,40.60655799,Brooklyn
2020-12-06 16:50:19,2020-12-06 17:07:05,3.23,211,164,150,Manhattan Beach,-73.94288426,40.58026232,Brooklyn
2020-12-06 16:34:20,2020-12-06 16:41:00,1.39,229,263,151,Manhattan Valley,-73.96780839,40.79786627,Manhattan
2020-12-06 16:53:21,2020-12-06 17:05:33,1.80,141,163,152,Manhattanville,-73.95432487,40.8175772,Manhattan
2020-12-06 16:47:51,2020-12-06 16:53:02,1.35,237,236,153,Marble Hill,-73.91106258,40.87560041,Manhattan
2020-12-06 16:01:10,2020-12-06 16:18:39,4.05,263,116,154,Marine Park/Floyd Bennett Field,-73.89612331,40.59311867,Brooklyn
2020-12-06 16:43:06,2020-12-06 17:06:50,4.61,43,158,155,Marine Park/Mill Basin,-73.90676934,40.61778854,Brooklyn
2020-12-06 16:00:43,2020-12-06 16:08:15,.90,237,263,156,Mariners Harbor,-74.1648593,40.62874838,Staten Island
2020-12-06 16:09:27,2020-12-06 16:24:13,1.80,263,239,157,Maspeth,-73.90192569,40.72403936,Queens
2020-12-06 16:59:09,2020-12-06 17:05:13,1.80,236,74,158,Meatpacking/West Village West,-74.00838576,40.73524807,Manhattan
2020-12-06 16:28:41,2020-12-06 16:54:58,4.10,42,237,159,Melrose South,-73.91358299,40.81825946,Bronx
2020-12-06 16:57:44,2020-12-06 17:09:42,2.20,163,263,160,Middle Village,-73.88071225,40.71850382,Queens
2020-12-06 16:00:54,2020-12-06 16:14:22,1.06,164,230,161,Midtown Center,-73.97743184,40.75822648,Manhattan
2020-12-06 16:00:07,2020-12-06 16:05:33,1.17,137,79,162,Midtown East,-73.97214549,40.75681616,Manhattan
2020-12-06 16:14:22,2020-12-06 16:22:59,2.32,233,263,163,Midtown North,-73.97836699,40.76442545,Manhattan
2020-12-06 16:25:24,2020-12-06 16:36:08,1.75,263,238,164,Midtown South,-73.98592881,40.74880767,Manhattan
2020-12-06 16:41:04,2020-12-06 16:51:24,2.74,238,48,165,Midwood,-73.95460295,40.6209587,Brooklyn
2020-12-06 16:20:46,2020-12-06 16:39:43,2.96,161,224,166,Morningside Heights,-73.96181526,40.80957023,Manhattan
2020-12-06 16:04:22,2020-12-06 16:11:37,1.30,230,68,167,Morrisania/Melrose,-73.90444259,40.82798804,Bronx
2020-12-06 16:21:42,2020-12-06 16:32:51,1.40,234,158,168,Mott Haven/Port Morris,-73.91705803,40.80743953,Bronx
2020-12-06 16:51:25,2020-12-06 17:14:29,3.20,100,140,169,Mount Hope,-73.90502146,40.84911482,Bronx
2020-12-06 16:52:06,2020-12-06 17:03:49,2.05,161,107,170,Murray Hill,-73.97694199,40.74765428,Manhattan
2020-12-06 16:05:50,2020-12-06 16:29:42,3.56,161,231,171,Murray Hill-Queens,-73.80888072,40.76894367,Queens
2020-12-06 16:04:11,2020-12-06 16:29:22,17.32,162,132,172,New Dorp/Midland Beach,-74.1039265,40.57246542,Staten Island
2020-12-06 16:11:48,2020-12-06 16:15:15,.50,238,238,173,North Corona,-73.8630837,40.75177924,Queens
2020-12-06 16:09:42,2020-12-06 16:24:06,3.60,68,237,174,Norwood,-73.87776056,40.87685259,Bronx
